CLIENT_ID;default_payment_next_month
29c55f5f-0da7-43ec-ba1b-b60592689825;0
f818136a-138f-4578-a0bb-41605b67e0e5;0
bef609a9-f9c5-4870-be7f-cb20e70f7e92;0
2ba3a218-4792-4672-82c7-4b0953101d41;0
723e61b4-d151-4368-b129-468417fd930c;0
f689cc58-4331-40ba-ae4b-c43e649cb9e8;0
5366b666-0978-4843-9ad0-a23993b94edd;0
92825b72-b828-419b-b2b1-0c4791769558;0
bd9b31c5-e0d6-4555-afab-ed6753d6afb8;1
2c304969-82e6-4981-b2e2-af1f1977b47f;1
c7d53a21-0f54-49b0-8577-a1b921f6b050;0
d143f3aa-c49e-48c2-a0ca-37e3830b9f6f;0
d135b526-0366-40f5-8ca9-5311470fbd8d;0
f304e286-3598-4b7e-8db3-f4f34e00c426;0
f27a1297-0aa4-47c7-8bbf-100ddca975cd;0
5b71a67f-02bf-42e2-831a-1be0e6ab9610;0
46fc6b22-a987-443f-b729-c8eff106cff8;0
fb467204-9725-40a1-b765-fc3ab459c74c;0
dc7f5217-86a7-46bc-a240-bb096b046e76;0
a08170e4-9a72-4dff-b636-82d7e4c29c79;0
5d9fbd01-8fa9-4be8-811c-24bf4ac0ced9;0
0e847d83-eb2c-46c9-9382-0c9864498304;0
4a8bf4bf-e891-4b86-9c92-91a71fdb5774;0
1f584862-2c6d-4996-a719-5b1045749cea;0
9095e81d-af24-4058-8407-a009f2887cbc;1
1f30e141-da47-4d01-b542-4a183f14691d;1
617a407a-1901-439d-9223-81582c3432fd;1
5d1ea32a-9f86-437a-bb1d-b388abbb2798;0
0e50ec3f-5268-4d7a-bd55-a9aeba3c9426;0
45a07ae5-ca71-493f-93b4-fff6239b7664;1
07714e28-1c3b-45c3-84d6-c9c6c1e6406e;0
111d970c-f485-4166-9625-055955d110a4;0
dbc728aa-b100-4815-99fc-6218b299cf43;0
855bb61e-bff9-443d-962d-b670eea5e7fb;0
17c29488-b3ac-4b29-aca2-eb617bd8d4b3;1
06d3bcf8-b796-43fe-8fbe-5a5c5281eea0;0
534fa09e-6f33-4b6c-8e42-eda243ad4d7c;0
553bcf8a-2826-48dd-b0bc-1b8f565fdf17;0
95f88d40-2197-42b6-8612-5c40c69b52cf;1
3e82f11b-80b0-4009-b330-58ba0d19a893;0
b5c08a39-097d-44ed-902b-35b0668b33a5;0
343742c6-6b35-433f-ae2c-4f785ca0bd39;0
274ae0d0-aa5d-4a0c-ab37-7f6ed59f992a;1
1bd693ea-6b94-428c-b0ac-6d207d3d3bc2;0
a95361ee-b451-4761-ac3c-6807bf3eee02;0
c4a7eb84-33f5-407a-9630-96d7ffd56907;0
67281d6e-bd5d-4ab6-923d-e501ee32fdf6;0
57f04671-869d-42b8-b5c3-4fc408b0ee85;0
a2a39f1e-8584-461d-b947-bdf924998c17;0
307c7314-9fdc-4a4a-9e64-09b383340fc7;0
1b0c8812-7d36-4f75-a604-5d0334072eab;1
aaa3bdce-82ae-4b42-9f81-0660813c7352;0
4fdd5783-b704-4662-87f0-c8f19ded7905;0
238229f2-e4e7-4f2d-96f6-cb3048778d5e;0
6d00780e-9e2e-4b92-ab5b-09404a2aabb7;0
9ed2eb9f-7bd9-40e0-893c-fc1cf404863c;0
c040002e-fd8f-44da-8558-87f141f55a06;0
51c70c20-10ed-40b6-bff4-195c90feb74f;0
3b2e75d5-7a9c-4eac-9e39-2965473a5b9b;0
888735b7-7305-4847-96e1-d890a5eafe0a;0
0591f683-f95b-45e6-8f7a-dfb9db35cda6;0
cc5708f0-5c44-4d07-b6e6-2b86d58214f9;0
dea338f4-6177-47a0-aed2-86183147aff5;0
40ccde00-9098-4196-b469-22c738a11f70;0
e0d33d5b-b157-43ba-98e9-db52e3477c08;1
8232b4e5-353c-4468-97b4-7d688efa3769;0
d6c1865f-1217-4fa4-b31c-ceb9b184eba6;0
cf64bb82-e5bf-4f10-8ef1-4ea1eea47d40;0
eacfc262-69d6-428a-bd28-5044049b1625;0
d9bed531-10dd-408a-b570-79e5e4a75d74;1
ad558c9a-501f-4b2e-b916-f146f96ff405;0
b22e4e36-d2b5-41a9-9212-b9ef6c6ebb68;0
3c5c9a7c-2bd6-494d-ae29-4237a705ec4d;1
66a44f5c-a1b1-4777-abdb-54b138f3582f;0
8982f87e-c08d-4068-966d-d8aa934eaa08;0
0ca2ff1b-1b4a-47bd-89df-e80363bf9b5a;0
e8ce4bab-6099-4b95-a796-9bf8a5c995d1;0
5759127b-7952-4d28-a51b-17551e1f1597;0
c3a0d8de-c9a0-48e6-b03d-1d6742093e79;0
e15b58ee-b972-4a2d-9684-e54d6cf53cd1;0
6e17ca32-cceb-485f-8530-1e27c35a0dd4;0
f55ad621-355c-4878-a203-d4e04fe632f4;0
9e01c823-baca-42fa-a819-abf02ab46702;1
e9444400-7561-4566-bdf2-d0f3f6ff60b5;1
fb566c3c-9342-47e5-9158-d2aab441ec7e;0
cf46cd69-5783-42c9-a50c-3623e78e7435;1
38d2cc9f-dbb8-4f6d-800a-a65fe68d87ee;0
6bd20c7e-50d9-4cd0-875d-faeccfa2de8b;0
8988529e-d833-4d1a-b9fe-5cabe080b4f8;1
9cb303ac-8ae4-4156-bedf-868ca5e81b68;0
5ec92ac6-56a8-4dbe-a215-78e14b712fd5;0
6e365525-33d2-470f-8fc9-ba23227476cf;1
2669c818-5788-42e2-9d91-5727161cb6d1;0
14a8b256-0a48-4b54-a206-8cb9e7093463;0
885081fb-77b8-40bb-871e-5d4c4927fa0f;0
0f06e146-3f9e-4769-b3a7-98659580560f;0
5850a729-39e8-4302-8e89-401ccf1c3f65;0
31b4507f-9fe0-4974-903b-2e2715a16eaf;0
3bd8d876-fdea-4b87-983a-15442d27369e;0
9e331bf0-b7b9-4faf-854d-be2f31643aa8;0
4dd72adb-ee80-4c58-963a-d30128cf8072;0
1220d1b7-901b-4786-99ab-d8a64afd3bf3;0
0de42b9a-c3d3-4eed-abe0-6a84099bb32c;0
ef7b3948-0053-494b-b5b4-df315b669fa6;0
0819c12c-0211-4c93-9943-d81be24a00df;0
51f2c9c0-31df-4a3f-bef0-9887ac87ca22;0
398eb97b-59ee-4dae-9b11-514c8bf91baa;1
9c4fc009-eb84-4923-b48a-ab197a8ca6b9;0
2c71e55a-a7b4-4b5c-9731-fff636480935;0
2346c666-0e4d-435c-9354-559270b7da2c;0
5295540b-8c94-4c8e-8c1a-22f2c5f82512;0
d4427951-121c-4696-942e-84f1910f0c07;1
8f2c07b8-8132-4b2d-acb5-4fd1dd956809;0
ead124be-dce1-4cbe-b70f-b3803f00e84f;1
69087092-86d3-45e0-9caf-b57fcd7a1f39;1
507b2b2f-f6ef-4580-a170-7e0f91d354da;1
a5234e23-70eb-4409-9994-86a11a0ce8ca;0
02a52c07-13d1-4400-a79d-8b481b43f7b9;1
a019ee9e-af19-405a-b00e-ed2c27e50041;1
3104de3c-f014-4ee9-9474-84b75df7de9e;0
7a288f76-affb-4ed2-a1fb-3af0b87ad825;0
5e7c4855-85d5-4834-8a5a-78b9770055f3;0
3a14795f-2d96-4cb8-9792-4aa736576a0d;0
de0d3202-e60b-4a9d-9de9-9e1f7d840099;0
04566cb8-6136-45ae-8c97-d27ff422f114;0
db12779a-9552-4d5f-80d4-d91e9f083fdb;0
344146fe-c638-4277-b7d8-7890c390fbf8;0
84fb087f-1c6d-4089-b2fd-38dbedd8a984;0
e1eb604b-f3f9-45a1-95cb-fa262c03dc6d;0
505ccf56-df02-4cd0-b64c-4daebc9966f1;0
94cfe109-e514-4495-9aa5-3b3db4aa3e2c;0
eed87714-0409-4cc8-863c-c1746dd14ac1;0
fe01b182-a14d-4d35-8a3e-f4ad1fba8719;1
671f3040-70c6-4462-8232-f8b22b01b736;0
bf747401-9e5f-46bc-b962-bf167ef69991;1
111b8613-8a61-48ce-a3a8-be2bb06702dd;0
bb4e3096-8c22-4ace-93b0-68c66f814b43;0
fb3e3afb-1304-472b-b95a-509121dac580;0
8b379326-29b2-4da2-bbe4-14dbd848d1b5;0
