CLIENT_ID;Cupo_TC;SEX;EDUCATION;MARRIAGE;AGE
29c55f5f-0da7-43ec-ba1b-b60592689825;270000;Femenino;universidad;Casado;28
f818136a-138f-4578-a0bb-41605b67e0e5;80000;Femenino;colegio;soltero_a;52
bef609a9-f9c5-4870-be7f-cb20e70f7e92;210000;Femenino;universidad;Casado;36
2ba3a218-4792-4672-82c7-4b0953101d41;230000;Femenino;colegio;Casado;44
723e61b4-d151-4368-b129-468417fd930c;130000;Femenino;Posgrado;Casado;36
f689cc58-4331-40ba-ae4b-c43e649cb9e8;470000;Femenino;universidad;Casado;35
5366b666-0978-4843-9ad0-a23993b94edd;800000;Masculino;universidad;Casado;53
92825b72-b828-419b-b2b1-0c4791769558;20000;Masculino;universidad;soltero_a;30
bd9b31c5-e0d6-4555-afab-ed6753d6afb8;40000;Masculino;colegio;soltero_a;43
2c304969-82e6-4981-b2e2-af1f1977b47f;10000;Masculino;universidad;soltero_a;23
c7d53a21-0f54-49b0-8577-a1b921f6b050;210000;Masculino;0;soltero_a;45
d143f3aa-c49e-48c2-a0ca-37e3830b9f6f;400000;Masculino;universidad;Casado;39
d135b526-0366-40f5-8ca9-5311470fbd8d;50000;Femenino;colegio;Casado;30
f304e286-3598-4b7e-8db3-f4f34e00c426;390000;Masculino;Posgrado;soltero_a;34
f27a1297-0aa4-47c7-8bbf-100ddca975cd;150000;Masculino;Posgrado;soltero_a;29
5b71a67f-02bf-42e2-831a-1be0e6ab9610;230000;Femenino;Posgrado;soltero_a;33
46fc6b22-a987-443f-b729-c8eff106cff8;190000;Masculino;colegio;Casado;37
fb467204-9725-40a1-b765-fc3ab459c74c;160000;Femenino;Posgrado;Casado;48
dc7f5217-86a7-46bc-a240-bb096b046e76;250000;Masculino;5;Casado;39
a08170e4-9a72-4dff-b636-82d7e4c29c79;50000;Masculino;colegio;soltero_a;23
5d9fbd01-8fa9-4be8-811c-24bf4ac0ced9;400000;Masculino;Posgrado;Casado;66
0e847d83-eb2c-46c9-9382-0c9864498304;70000;Masculino;universidad;soltero_a;51
4a8bf4bf-e891-4b86-9c92-91a71fdb5774;160000;Masculino;universidad;Casado;43
1f584862-2c6d-4996-a719-5b1045749cea;500000;Femenino;universidad;Casado;39
9095e81d-af24-4058-8407-a009f2887cbc;70000;Masculino;colegio;Casado;55
1f30e141-da47-4d01-b542-4a183f14691d;290000;Masculino;colegio;Casado;47
617a407a-1901-439d-9223-81582c3432fd;280000;Femenino;universidad;soltero_a;33
5d1ea32a-9f86-437a-bb1d-b388abbb2798;110000;Femenino;universidad;soltero_a;24
0e50ec3f-5268-4d7a-bd55-a9aeba3c9426;60000;Masculino;universidad;soltero_a;53
45a07ae5-ca71-493f-93b4-fff6239b7664;500000;Masculino;Posgrado;Casado;40
07714e28-1c3b-45c3-84d6-c9c6c1e6406e;190000;Femenino;colegio;Casado;45
111d970c-f485-4166-9625-055955d110a4;90000;Femenino;universidad;soltero_a;23
dbc728aa-b100-4815-99fc-6218b299cf43;360000;Femenino;Posgrado;soltero_a;27
855bb61e-bff9-443d-962d-b670eea5e7fb;230000;Masculino;colegio;Casado;58
17c29488-b3ac-4b29-aca2-eb617bd8d4b3;30000;Femenino;universidad;Casado;38
06d3bcf8-b796-43fe-8fbe-5a5c5281eea0;200000;Femenino;Posgrado;Casado;31
534fa09e-6f33-4b6c-8e42-eda243ad4d7c;100000;Femenino;universidad;soltero_a;29
553bcf8a-2826-48dd-b0bc-1b8f565fdf17;60000;Femenino;universidad;soltero_a;32
95f88d40-2197-42b6-8612-5c40c69b52cf;30000;Femenino;universidad;Casado;45
3e82f11b-80b0-4009-b330-58ba0d19a893;230000;Femenino;Posgrado;soltero_a;28
b5c08a39-097d-44ed-902b-35b0668b33a5;200000;Masculino;universidad;soltero_a;27
343742c6-6b35-433f-ae2c-4f785ca0bd39;30000;Masculino;universidad;soltero_a;29
274ae0d0-aa5d-4a0c-ab37-7f6ed59f992a;50000;Masculino;colegio;soltero_a;34
1bd693ea-6b94-428c-b0ac-6d207d3d3bc2;20000;Masculino;Posgrado;soltero_a;27
a95361ee-b451-4761-ac3c-6807bf3eee02;360000;Masculino;Posgrado;soltero_a;31
c4a7eb84-33f5-407a-9630-96d7ffd56907;350000;Femenino;colegio;Casado;64
67281d6e-bd5d-4ab6-923d-e501ee32fdf6;220000;Masculino;colegio;Casado;42
57f04671-869d-42b8-b5c3-4fc408b0ee85;200000;Femenino;Posgrado;soltero_a;30
a2a39f1e-8584-461d-b947-bdf924998c17;260000;Femenino;universidad;Casado;54
307c7314-9fdc-4a4a-9e64-09b383340fc7;150000;Femenino;Posgrado;Casado;30
1b0c8812-7d36-4f75-a604-5d0334072eab;60000;Masculino;universidad;Casado;41
aaa3bdce-82ae-4b42-9f81-0660813c7352;60000;Femenino;universidad;soltero_a;24
4fdd5783-b704-4662-87f0-c8f19ded7905;210000;Femenino;universidad;soltero_a;38
238229f2-e4e7-4f2d-96f6-cb3048778d5e;500000;Masculino;Posgrado;soltero_a;33
6d00780e-9e2e-4b92-ab5b-09404a2aabb7;80000;Femenino;universidad;soltero_a;24
9ed2eb9f-7bd9-40e0-893c-fc1cf404863c;230000;Femenino;Posgrado;soltero_a;27
c040002e-fd8f-44da-8558-87f141f55a06;460000;Masculino;universidad;Casado;55
51c70c20-10ed-40b6-bff4-195c90feb74f;120000;Femenino;universidad;Casado;42
3b2e75d5-7a9c-4eac-9e39-2965473a5b9b;130000;Masculino;universidad;Casado;43
888735b7-7305-4847-96e1-d890a5eafe0a;80000;Masculino;universidad;Casado;33
0591f683-f95b-45e6-8f7a-dfb9db35cda6;90000;Femenino;universidad;Casado;33
cc5708f0-5c44-4d07-b6e6-2b86d58214f9;200000;Femenino;Posgrado;Casado;34
dea338f4-6177-47a0-aed2-86183147aff5;40000;Masculino;universidad;soltero_a;31
40ccde00-9098-4196-b469-22c738a11f70;130000;Femenino;otro;soltero_a;28
e0d33d5b-b157-43ba-98e9-db52e3477c08;80000;Masculino;universidad;soltero_a;27
8232b4e5-353c-4468-97b4-7d688efa3769;140000;Femenino;Posgrado;soltero_a;24
d6c1865f-1217-4fa4-b31c-ceb9b184eba6;60000;Masculino;universidad;soltero_a;35
cf64bb82-e5bf-4f10-8ef1-4ea1eea47d40;390000;Masculino;colegio;Casado;39
eacfc262-69d6-428a-bd28-5044049b1625;260000;Femenino;universidad;Casado;43
d9bed531-10dd-408a-b570-79e5e4a75d74;20000;Femenino;colegio;Casado;31
ad558c9a-501f-4b2e-b916-f146f96ff405;90000;Femenino;universidad;soltero_a;23
b22e4e36-d2b5-41a9-9212-b9ef6c6ebb68;10000;Masculino;5;soltero_a;35
3c5c9a7c-2bd6-494d-ae29-4237a705ec4d;210000;Femenino;universidad;Casado;34
66a44f5c-a1b1-4777-abdb-54b138f3582f;10000;Masculino;colegio;soltero_a;43
8982f87e-c08d-4068-966d-d8aa934eaa08;630000;Femenino;Posgrado;Casado;31
0ca2ff1b-1b4a-47bd-89df-e80363bf9b5a;150000;Femenino;Posgrado;soltero_a;28
e8ce4bab-6099-4b95-a796-9bf8a5c995d1;610000;Femenino;Posgrado;soltero_a;35
5759127b-7952-4d28-a51b-17551e1f1597;80000;Femenino;universidad;soltero_a;24
c3a0d8de-c9a0-48e6-b03d-1d6742093e79;360000;Femenino;Posgrado;soltero_a;33
e15b58ee-b972-4a2d-9684-e54d6cf53cd1;240000;Femenino;universidad;Casado;43
6e17ca32-cceb-485f-8530-1e27c35a0dd4;120000;Masculino;Posgrado;soltero_a;29
f55ad621-355c-4878-a203-d4e04fe632f4;50000;Masculino;universidad;soltero_a;22
9e01c823-baca-42fa-a819-abf02ab46702;50000;Masculino;universidad;soltero_a;30
e9444400-7561-4566-bdf2-d0f3f6ff60b5;50000;Femenino;universidad;soltero_a;27
fb566c3c-9342-47e5-9158-d2aab441ec7e;280000;Femenino;Posgrado;Casado;30
cf46cd69-5783-42c9-a50c-3623e78e7435;350000;Femenino;Posgrado;soltero_a;33
38d2cc9f-dbb8-4f6d-800a-a65fe68d87ee;70000;Femenino;Posgrado;soltero_a;25
6bd20c7e-50d9-4cd0-875d-faeccfa2de8b;180000;Femenino;Posgrado;soltero_a;33
8988529e-d833-4d1a-b9fe-5cabe080b4f8;280000;Masculino;Posgrado;soltero_a;31
9cb303ac-8ae4-4156-bedf-868ca5e81b68;70000;Femenino;universidad;soltero_a;23
5ec92ac6-56a8-4dbe-a215-78e14b712fd5;20000;Masculino;universidad;soltero_a;23
6e365525-33d2-470f-8fc9-ba23227476cf;50000;Masculino;universidad;soltero_a;43
2669c818-5788-42e2-9d91-5727161cb6d1;50000;Masculino;universidad;soltero_a;31
14a8b256-0a48-4b54-a206-8cb9e7093463;90000;Femenino;colegio;Casado;58
885081fb-77b8-40bb-871e-5d4c4927fa0f;180000;Femenino;universidad;Casado;37
0f06e146-3f9e-4769-b3a7-98659580560f;170000;Femenino;Posgrado;soltero_a;31
5850a729-39e8-4302-8e89-401ccf1c3f65;250000;Masculino;Posgrado;soltero_a;29
31b4507f-9fe0-4974-903b-2e2715a16eaf;70000;Femenino;Posgrado;Casado;45
3bd8d876-fdea-4b87-983a-15442d27369e;200000;Masculino;Posgrado;Casado;34
9e331bf0-b7b9-4faf-854d-be2f31643aa8;500000;Masculino;Posgrado;Casado;58
4dd72adb-ee80-4c58-963a-d30128cf8072;200000;Femenino;Posgrado;Casado;25
1220d1b7-901b-4786-99ab-d8a64afd3bf3;140000;Femenino;universidad;soltero_a;26
0de42b9a-c3d3-4eed-abe0-6a84099bb32c;80000;Femenino;universidad;Casado;32
ef7b3948-0053-494b-b5b4-df315b669fa6;110000;Femenino;Posgrado;soltero_a;32
0819c12c-0211-4c93-9943-d81be24a00df;360000;Masculino;universidad;Casado;28
51f2c9c0-31df-4a3f-bef0-9887ac87ca22;30000;Femenino;colegio;soltero_a;55
398eb97b-59ee-4dae-9b11-514c8bf91baa;20000;Femenino;colegio;Casado;52
9c4fc009-eb84-4923-b48a-ab197a8ca6b9;100000;Femenino;universidad;soltero_a;36
2c71e55a-a7b4-4b5c-9731-fff636480935;50000;Femenino;universidad;soltero_a;27
2346c666-0e4d-435c-9354-559270b7da2c;30000;Femenino;universidad;soltero_a;28
5295540b-8c94-4c8e-8c1a-22f2c5f82512;360000;Masculino;colegio;soltero_a;34
d4427951-121c-4696-942e-84f1910f0c07;50000;Femenino;universidad;soltero_a;22
8f2c07b8-8132-4b2d-acb5-4fd1dd956809;20000;Masculino;universidad;soltero_a;33
ead124be-dce1-4cbe-b70f-b3803f00e84f;80000;Femenino;universidad;Casado;25
69087092-86d3-45e0-9caf-b57fcd7a1f39;220000;Masculino;Posgrado;soltero_a;35
507b2b2f-f6ef-4580-a170-7e0f91d354da;350000;Femenino;Posgrado;Casado;52
a5234e23-70eb-4409-9994-86a11a0ce8ca;60000;Femenino;Posgrado;soltero_a;23
02a52c07-13d1-4400-a79d-8b481b43f7b9;180000;Masculino;universidad;Casado;36
a019ee9e-af19-405a-b00e-ed2c27e50041;220000;Masculino;Posgrado;soltero_a;28
3104de3c-f014-4ee9-9474-84b75df7de9e;80000;Femenino;colegio;Casado;50
7a288f76-affb-4ed2-a1fb-3af0b87ad825;360000;Femenino;Posgrado;Casado;37
5e7c4855-85d5-4834-8a5a-78b9770055f3;30000;Femenino;Posgrado;soltero_a;26
3a14795f-2d96-4cb8-9792-4aa736576a0d;190000;Masculino;universidad;soltero_a;29
de0d3202-e60b-4a9d-9de9-9e1f7d840099;260000;Masculino;universidad;Casado;62
04566cb8-6136-45ae-8c97-d27ff422f114;180000;Femenino;universidad;soltero_a;31
db12779a-9552-4d5f-80d4-d91e9f083fdb;310000;Femenino;universidad;Casado;36
344146fe-c638-4277-b7d8-7890c390fbf8;140000;Femenino;universidad;Casado;29
84fb087f-1c6d-4089-b2fd-38dbedd8a984;210000;Femenino;universidad;soltero_a;32
e1eb604b-f3f9-45a1-95cb-fa262c03dc6d;230000;Femenino;universidad;soltero_a;24
505ccf56-df02-4cd0-b64c-4daebc9966f1;280000;Femenino;universidad;soltero_a;30
94cfe109-e514-4495-9aa5-3b3db4aa3e2c;180000;Femenino;universidad;Casado;36
eed87714-0409-4cc8-863c-c1746dd14ac1;50000;Masculino;colegio;Casado;54
fe01b182-a14d-4d35-8a3e-f4ad1fba8719;20000;Femenino;Posgrado;soltero_a;31
671f3040-70c6-4462-8232-f8b22b01b736;250000;Femenino;Posgrado;soltero_a;28
bf747401-9e5f-46bc-b962-bf167ef69991;20000;Masculino;universidad;soltero_a;23
111b8613-8a61-48ce-a3a8-be2bb06702dd;130000;Femenino;Posgrado;soltero_a;29
bb4e3096-8c22-4ace-93b0-68c66f814b43;80000;Femenino;universidad;soltero_a;26
fb3e3afb-1304-472b-b95a-509121dac580;150000;Femenino;universidad;soltero_a;50
8b379326-29b2-4da2-bbe4-14dbd848d1b5;200000;Femenino;Posgrado;soltero_a;30
1a16afe5-d130-47e9-846e-f06eff5fac4d;500000;Femenino;universidad;soltero_a;29
c4105790-d826-4f1b-b3e8-8ca95853f7f1;130000;Femenino;colegio;Casado;38
c7dc5e44-a53b-42d8-ac31-a668fd34ce55;90000;Femenino;Posgrado;Casado;38
d5b40fb1-df3f-4697-8eae-3ce5b19c185c;80000;Masculino;universidad;soltero_a;40
7ea1ea0c-ad51-40f8-abfa-916591649cc8;250000;Femenino;universidad;soltero_a;33
83fdba65-311c-4106-be30-33a8bdeba61f;150000;Femenino;otro;Casado;26
397014dc-72c0-41ac-97d0-02a2f0513792;30000;Femenino;Posgrado;soltero_a;45
5682f6eb-e44c-4de5-ac88-4fbd31a597aa;210000;Femenino;Posgrado;soltero_a;28
5127c14d-3590-4c2e-bca1-be6b7c758efe;160000;Femenino;universidad;Casado;37
9fed507a-0dc3-4462-8587-ccb4e889ab6d;30000;Masculino;universidad;soltero_a;29
b934a157-5243-4531-9c28-5ea260c728a7;300000;Femenino;colegio;Casado;27
e05f9b7e-6ce8-462e-9c5d-8eeb9bf44c06;180000;Masculino;colegio;Casado;35
9b08c851-dcd2-4568-aa72-d545a8fe118b;180000;Femenino;colegio;Casado;33
f0d721da-9f1f-495a-881b-255cbb25a46c;310000;Femenino;universidad;Casado;35
7ef0f098-c55f-415c-8b46-f4abcfdc16aa;50000;Masculino;universidad;soltero_a;35
1e36ed6f-3f76-4657-81f0-b7697fe1ec55;50000;Femenino;colegio;otro;55
b414a94f-d863-4472-945e-870f74bd04a8;20000;Masculino;universidad;soltero_a;33
1d08a6f4-a194-4dc6-839e-2defad1df143;500000;Femenino;universidad;soltero_a;26
48902653-4c1d-4844-8bfd-1c8167bbadec;360000;Femenino;universidad;soltero_a;30
8366800e-003b-4037-b0f6-a496623d86be;50000;Masculino;colegio;Casado;52
f0e07d5c-e1e5-4358-bda7-f81d036e830e;280000;Femenino;universidad;soltero_a;33
70ea77a5-df3a-4537-982a-dc2f9a7b8056;150000;Femenino;colegio;Casado;34
b09bcefe-191b-4c04-b247-86e7fcd9a5e5;720000;Masculino;Posgrado;Casado;40
c1aad2e7-6f56-4e97-8795-f6918bb716db;290000;Femenino;universidad;Casado;42
0f9db34c-3204-4370-91d2-dc5f8d9732d5;50000;Masculino;Posgrado;soltero_a;25
89891c5d-dcb6-4efa-8611-3959ccb84169;500000;Masculino;universidad;soltero_a;26
d38cf3b9-1aaa-4c86-9200-b09a06cb0b3e;240000;Femenino;Posgrado;Casado;45
eb5a5157-89b2-463a-a84b-da441d9f1f3b;270000;Femenino;Posgrado;soltero_a;31
796c7592-c119-482b-b8f9-4a42a7e112f7;30000;Masculino;universidad;soltero_a;24
eca288e5-f670-4d3e-9a17-b01daab71e89;480000;Masculino;Posgrado;Casado;41
10afdb08-88ca-4fa1-a809-d51fcb18652b;190000;Femenino;otro;soltero_a;39
1273fda4-d3c3-4468-be7e-5dc010fb5f40;20000;Masculino;universidad;Casado;34
89cdbae6-d446-4c5f-9db8-cd65ee904de7;100000;Femenino;colegio;Casado;41
7ec35459-9b58-436c-9901-91d44d186efe;500000;Femenino;universidad;soltero_a;32
5d41bc05-1065-4a72-9d5f-e649aea78ec3;360000;Masculino;colegio;Casado;46
f6f88c8c-79a7-49d4-ba33-cd6e8db46089;20000;Femenino;universidad;Casado;30
17b55892-837c-4402-9496-a4e43b644df7;250000;Femenino;universidad;Casado;50
e05f0c89-a1d1-4c7c-b898-773269a2f7d1;80000;Masculino;universidad;soltero_a;26
15d8294b-f176-4258-949d-b9cd4cde894c;360000;Femenino;universidad;soltero_a;32
e5418ff8-c73e-48a0-a2b2-bd717a1825c9;440000;Femenino;Posgrado;Casado;40
e0fa9678-e93e-4ee7-90a9-cc1bc86d3df8;100000;Femenino;colegio;Casado;35
0a58360b-eed0-4d64-9e3c-c5b53ec7403c;90000;Masculino;universidad;Casado;29
9305abb0-e4c4-4896-b6f1-7b94f0ae2908;110000;Femenino;universidad;soltero_a;29
66de1ddd-9875-47e2-a4ff-51862abbc4a6;290000;Femenino;colegio;soltero_a;37
fda38433-2016-42e2-98e8-ccd9b98415fd;260000;Femenino;Posgrado;Casado;35
3ef1d1ad-530e-4dab-b240-d5f0892373bc;150000;Femenino;universidad;soltero_a;37
f64ac119-187b-44d6-a294-23256a7975f1;170000;Femenino;Posgrado;Casado;50
35e9a115-668c-4b26-b12c-3ccfa401bbfc;30000;Femenino;5;soltero_a;45
52a3640a-0944-41a0-ab4a-1c2ea7b133d9;300000;Femenino;Posgrado;Casado;33
3ce5d9e1-c44a-4d8f-85de-986c5540dda0;30000;Femenino;colegio;Casado;67
c4b5e7a8-5b66-46ed-8fda-aac1836c8af2;50000;Femenino;colegio;Casado;42
89c68a16-8f29-4143-8c39-ba6009c4318e;80000;Femenino;universidad;Casado;44
bb51b152-18ea-4db9-b1b9-8ddcd4b8a4a2;150000;Masculino;Posgrado;soltero_a;38
0aeb7a74-07b6-4a20-8525-fe587de8b13f;60000;Femenino;colegio;soltero_a;26
7d587841-a02b-4c4e-b97d-50c131b337a5;30000;Masculino;universidad;Casado;36
ed173b60-22a3-4a1f-beb1-8916efc9951e;150000;Masculino;Posgrado;soltero_a;25
fe5c8b2b-5d37-428d-912f-b4826ddfc4e8;390000;Masculino;Posgrado;Casado;35
b3bacc28-80b4-4180-b448-c5d938fbe0dc;450000;Femenino;Posgrado;Casado;40
8478f186-12c5-45b0-a004-fc7a5f302c98;20000;Femenino;Posgrado;soltero_a;24
7c250022-9b3c-4a12-abf5-01f7ddb2075c;110000;Femenino;universidad;soltero_a;52
89250c0e-0cb5-409c-95d6-a7fc7aa4a987;190000;Masculino;Posgrado;soltero_a;36
56d3d012-ecae-446a-9632-2a328d0cd6eb;300000;Femenino;universidad;Casado;48
